epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,449.854,1.39552,0.82113,0.00216,0.79344,0.75242,0.81461,0.5533,1.48346,0.85831,0.00267,0.000581,0.000581,0.000581
45,459.65,1.37873,0.80559,0.00218,0.83299,0.73638,0.81664,0.53979,1.5744,0.86956,0.00281,0.000548,0.000548,0.000548
46,469.535,1.37874,0.79599,0.0021,0.8296,0.7511,0.82169,0.56922,1.38172,0.83435,0.00258,0.000515,0.000515,0.000515
47,478.973,1.29645,0.76143,0.00209,0.84042,0.73343,0.82662,0.5775,1.35791,0.82725,0.0025,0.000482,0.000482,0.000482
48,488.644,1.3383,0.76312,0.00208,0.84187,0.73703,0.82295,0.57207,1.39694,0.83593,0.00249,0.000449,0.000449,0.000449
49,498.529,1.28456,0.75398,0.00203,0.80548,0.744,0.82338,0.57825,1.34992,0.83254,0.0025,0.000416,0.000416,0.000416
50,508.391,1.30127,0.77503,0.00201,0.82869,0.73785,0.82074,0.5707,1.45398,0.85652,0.00255,0.000383,0.000383,0.000383
51,519.619,1.24561,0.74962,0.00195,0.82026,0.7511,0.82573,0.57522,1.40495,0.83266,0.00251,0.00035,0.00035,0.00035
52,529.127,1.27222,0.74932,0.00198,0.82208,0.74521,0.82273,0.58226,1.38057,0.81866,0.00252,0.000317,0.000317,0.000317
53,538.941,1.25011,0.74244,0.00192,0.78867,0.75405,0.82716,0.58612,1.33302,0.80434,0.00245,0.000284,0.000284,0.000284
54,548.78,1.23654,0.7354,0.00191,0.7859,0.76768,0.8246,0.58646,1.35992,0.80749,0.00248,0.000251,0.000251,0.000251
55,558.171,1.26795,0.74495,0.00192,0.7888,0.7673,0.82604,0.58094,1.43704,0.82073,0.00254,0.000218,0.000218,0.000218
56,567.832,1.21841,0.74601,0.00186,0.80416,0.75847,0.82656,0.59107,1.31323,0.81847,0.00236,0.000185,0.000185,0.000185
57,577.711,1.2249,0.74845,0.00193,0.81573,0.76436,0.82722,0.59014,1.35125,0.8019,0.00242,0.000152,0.000152,0.000152
58,587.479,1.22719,0.7415,0.00186,0.81601,0.76289,0.82803,0.59771,1.36,0.80058,0.0024,0.000119,0.000119,0.000119
59,596.66,1.19621,0.72034,0.00186,0.81004,0.76436,0.82931,0.60157,1.30524,0.80043,0.00235,8.6e-05,8.6e-05,8.6e-05
60,606.725,1.18932,0.71438,0.00181,0.81136,0.76436,0.82847,0.60113,1.29842,0.79425,0.00234,5.3e-05,5.3e-05,5.3e-05
